rank,language,percentage,year-created,years-active
1,JavaScript,66.0,1995,30
2,HTML/CSS,61.9,1993,32
3,SQL,58.6,1974,51
4,Python,57.9,1991,34
5,Bash/Shell,48.7,1989,36
6,TypeScript,43.6,2012,13
7,Java,29.4,1995,30
8,C#,27.8,2000,25
9,C++,23.5,1985,40
10,PowerShell,23.2,2006,19
11,C,22.0,1972,53
12,PHP,18.9,1995,30
13,Go,16.4,2009,16
14,Rust,14.8,2010,15
15,Kotlin,10.8,2011,14
16,Lua,9.2,1993,32
17,Assembly,7.1,1949,76
18,Ruby,6.4,1995,30
19,Dart,5.9,2011,14
20,Swift,5.4,2014,11
21,R,4.9,1993,32
22,Groovy,4.8,2003,22
23,Visual Basic (.Net),4.4,2001,24
24,VBA,4.2,1991,34
25,MATLAB,3.9,1984,41
26,Perl,3.8,1987,38
27,GDScript,3.3,2014,11
28,Elixir,2.7,2011,14
29,Scala,2.6,2003,22
30,Delphi,2.5,1995,30
31,Lisp,2.4,1958,67
32,MicroPython,2.3,2013,12
33,Zig,2.1,2015,10
34,Erlang,1.5,1986,39
35,Fortran,1.4,1957,68
36,Ada,1.4,1980,45
37,F#,1.3,2005,20
38,OCaml,1.2,1996,29
39,Gleam,1.1,2019,6
40,Prolog,1.1,1972,53
41,COBOL,1.0,1959,66
42,Mojo,0.4,2023,2
